Marketing Spend,R&D Investment,Employee Count,Operational Costs,Customer Satisfaction,Market Share,Revenue
224835.70765056164,205974.2174634401,463,258083.70986423673,3.093605483688033,0.14204432529308042,635752.3580430456
193086.78494144077,186985.34731651074,407,247768.97364913867,1.9070905012785828,0.10788173539345186,515466.342695935
232384.42690503463,152385.21479680698,124,402300.8488324218,3.6660879067721397,0.19815418241113886,257511.2657612787
276151.49282040127,124122.52889177704,404,281951.80126698426,1.320422906438409,0.12615491468706796,544983.1344312114
188292.3312638332,177928.93254454358,121,396898.6091346689,2.7673348192078184,0.08048500539251212,126667.33893737324
188293.15215254098,165739.41541686998,308,359825.625329672,1.6534670335936807,0.15670888524700927,377148.1986572806
278960.6407753696,185807.7288011093,447,324472.6069425193,1.7378362042395334,0.04238787720051199,497147.0758880104
238371.73645764543,175406.87206727877,237,327151.8861815691,1.8091757966328146,0.08305800460419063,308929.6748524201
176526.28070325239,191982.10861277342,222,215974.82638015394,2.5468282281759116,0.0759222005717413,348619.0151660837
227128.00217929823,128590.59153757727,339,312406.486790065,1.2046008224815905,0.09204334807047768,386704.90103306045
176829.11535937688,202695.76262537303,94,385021.2247788976,2.5911737637163927,0.158538166926458,186394.93750705154
176713.51232148716,157903.98418769598,110,340880.37019113655,3.0468297884588034,0.10199287611104742,179056.1294949076
212098.1135783017,233010.43490501062,132,309260.2012238646,2.933177139865301,0.16086274555053293,306303.87637516117
104335.9877671101,122432.48727641729,172,402716.2317490218,2.5311364016121622,0.11953289159657451,149450.66670356103
113754.10837434836,219438.55212660995,407,288897.5566403518,4.3565864322830095,0.07499319258493552,487033.3209614423
171885.62353795135,157916.4313385059,65,262826.65949869895,1.5813067696820164,0.16389596129985978,193727.01768841344
149358.44398327882,123943.27985542206,115,309229.9149646954,3.022786975125496,0.0552750374050874,135297.7241870196
215712.36662976368,130644.56663782714,473,345988.0420866958,1.2481656678262172,0.05263276616196114,476026.7220139685
154598.79622393945,137186.1076722272,194,196932.35425150435,1.284622715511639,0.10585555557041879,297412.64610582445
129384.81493323542,166966.63785607665,424,317092.11860942503,3.2954633987083852,0.059561356732796895,451915.3428526707
273282.4384460777,170913.41952141997,211,348620.7009321786,3.264073699551284,0.011726536640731101,223468.82726108067
188711.1849756732,127051.99984245683,283,283821.50248218834,4.512134051377828,0.13317653018677228,441543.23006814136
203376.4102343962,149025.81630956067,429,366417.8859781585,3.2314947026402927,0.10710782607975562,505721.2726958146
128762.59068932716,235690.81434447455,193,338471.1997446642,4.839164081619401,0.09464838475370062,277385.9763589086
172780.86377374086,219101.72680402844,407,428482.9871106646,1.194779393599719,0.19372401777747994,476655.6004561694
205546.1294854933,167452.94678696129,237,254963.8261451271,1.3920307391229643,0.1185278449529536,339887.7002475781
